Sensor	Output	Time
0 0 5502
0 0 5504
0 0 5505
0 0 5506
0 0 5507
0 0 5508
0 0 5508
0 0 5509
0 0 5510
0 0 5511
0 0 5512
0 0 5512
0 0 5513
0 0 5514
0 0 5515
0 0 5516
0 0 5517
0 0 5517
0 0 5518
0 0 5519
0 0 5520
0 0 5521
0 0 5522
0 0 5522
0 0 5523
0 0 5524
0 0 5525
0 0 5526
0 0 5527
0 0 5527
0 0 5528
0 0 5529
0 0 5530
0 0 5531
0 0 5532
0 0 5532
0 0 5533
0 0 5534
0 0 5535
0 0 5536
0 0 5537
0 0 5537
0 0 5538
0 0 5539
0 0 5540
0 0 5541
0 0 5542
0 0 5542
0 0 5543
0 0 5544
0 0 5545
0 0 5547
0 0 5548
0 0 5548
0 0 5549
0 0 5550
0 0 5551
0 0 5552
0 0 5553
0 0 5553
0 0 5554
0 0 5555
0 0 5556
0 0 5557
0 0 5557
0 0 5558
0 0 5559
0 0 5560
0 0 5561
0 0 5562
0 0 5562
0 0 5563
0 0 5564
0 0 5565
0 0 5566
0 0 5567
0 0 5567
0 0 5568
11 2 5569
0 0 5570
0 0 5571
0 0 5572
0 0 5573
0 0 5573
0 0 5574
0 0 5575
0 0 5576
0 0 5577
0 0 5577
0 0 5578
0 0 5579
0 0 5580
0 0 5581
0 0 5582
0 0 5582
0 0 5583
0 0 5584
0 0 5585
0 0 5586
0 0 5587
0 0 5587
0 0 5588
0 0 5590
0 0 5591
0 0 5592
0 0 5593
0 0 5593
0 0 5594
0 0 5595
0 0 5596
0 0 5597
0 0 5598
0 0 5598
0 0 5599
0 0 5600
0 0 5601
0 0 5602
0 0 5603
0 0 5603
0 0 5604
0 0 5605
0 0 5606
6 1 5607
0 0 5608
0 0 5608
0 0 5609
0 0 5610
0 0 5611
0 0 5612
0 0 5613
0 0 5613
0 0 5614
0 0 5615
0 0 5616
0 0 5617
0 0 5618
0 0 5618
0 0 5619
0 0 5620
0 0 5621
0 0 5622
0 0 5622
0 0 5623
0 0 5624
0 0 5625
0 0 5626
0 0 5627
0 0 5627
0 0 5628
0 0 5629
0 0 5630
0 0 5632
0 0 5633
0 0 5633
0 0 5634
0 0 5635
0 0 5636
0 0 5637
0 0 5638
0 0 5638
0 0 5639
0 0 5640
0 0 5641
0 0 5642
0 0 5643
0 0 5643
0 0 5644
0 0 5645
0 0 5646
0 0 5647
0 0 5648
987 246 5648
1023 255 5650
1023 255 5651
1023 255 5652
1023 255 5653
1023 255 5655
1023 255 5656
1023 255 5657
1023 255 5658
1023 255 5660
1023 255 5661
1023 255 5662
1023 255 5663
1023 255 5664
1023 255 5666
1023 255 5667
1023 255 5668
1023 255 5669
1023 255 5671
1023 255 5672
1023 255 5673
1020 254 5675
1023 255 5677
1023 255 5678
1023 255 5679
1023 255 5680
1023 255 5682
1023 255 5683
1023 255 5684
1023 255 5685
1023 255 5687
1023 255 5688
1023 255 5689
1023 255 5690
1023 255 5692
1023 255 5693
1023 255 5694
1023 255 5695
1023 255 5697
1023 255 5698
1023 255 5699
1023 255 5700
1023 255 5702
1023 255 5703
1023 255 5704
1023 255 5705
1023 255 5707
1023 255 5708
1023 255 5709
1023 255 5710
1023 255 5712
1023 255 5713
1023 255 5714
1023 255 5715
1022 254 5718
1023 255 5719
1023 255 5720
1023 255 5721
1023 255 5723
1023 255 5724
1022 254 5725
1023 255 5726
1023 255 5728
1023 255 5729
1023 255 5730
1023 255 5731
1023 255 5732
1023 255 5734
1023 255 5735
1023 255 5736
1023 255 5737
1023 255 5739
1023 255 5740
1023 255 5741
1023 255 5742
1022 254 5744
1023 255 5745
1023 255 5746
1023 255 5747
