Sensor	Output	Time
0 255 65
0 255 66
0 255 67
0 255 67
0 255 68
0 255 69
0 255 70
0 255 71
0 255 72
0 255 72
0 255 73
0 255 74
0 255 75
0 255 76
0 255 77
0 255 77
0 255 78
0 255 79
0 255 80
0 255 81
0 255 82
0 255 82
0 255 83
0 255 84
0 255 86
0 255 87
0 255 88
0 255 88
1 254 89
0 255 90
0 255 91
0 255 92
0 255 93
0 255 93
0 255 94
0 255 95
0 255 96
0 255 97
0 255 97
0 255 98
0 255 99
0 255 100
0 255 101
0 255 102
0 255 103
0 255 104
0 255 105
0 255 105
0 255 106
1 254 107
0 255 108
0 255 109
0 255 110
0 255 111
0 255 112
0 255 113
0 255 114
0 255 115
0 255 116
0 255 116
0 255 117
0 255 118
0 255 119
0 255 120
0 255 121
0 255 122
0 255 123
0 255 124
0 255 125
0 255 126
0 255 126
0 255 128
0 255 129
0 255 130
0 255 131
0 255 132
0 255 133
0 255 134
0 255 135
0 255 136
0 255 137
0 255 138
1 254 138
0 255 139
0 255 140
0 255 141
0 255 142
0 255 143
0 255 144
0 255 145
0 255 146
0 255 147
0 255 148
0 255 148
0 255 149
0 255 150
0 255 151
0 255 152
0 255 153
0 255 154
0 255 155
0 255 156
0 255 157
0 255 158
0 255 159
0 255 159
0 255 160
0 255 161
0 255 162
0 255 163
0 255 164
0 255 165
0 255 166
0 255 167
0 255 168
0 255 169
0 255 169
0 255 171
0 255 172
0 255 173
0 255 174
0 255 175
0 255 176
0 255 177
0 255 178
0 255 179
0 255 180
0 255 181
0 255 181
0 255 182
0 255 183
0 255 184
0 255 185
0 255 186
0 255 187
0 255 188
0 255 189
0 255 190
0 255 191
0 255 191
0 255 192
0 255 193
0 255 194
0 255 195
0 255 196
0 255 197
0 255 198
0 255 199
0 255 200
0 255 201
0 255 202
0 255 202
1 254 203
0 255 204
0 255 205
0 255 206
0 255 207
0 255 208
0 255 209
0 255 210
0 255 211
0 255 212
0 255 212
0 255 214
0 255 215
0 255 216
0 255 217
0 255 218
0 255 219
0 255 220
0 255 221
0 255 222
0 255 223
0 255 224
0 255 224
0 255 225
0 255 226
0 255 227
0 255 228
0 255 229
0 255 230
0 255 231
0 255 232
0 255 233
0 255 234
0 255 234
0 255 235
0 255 236
0 255 237
0 255 238
0 255 239
0 255 240
0 255 241
0 255 242
0 255 243
0 255 244
0 255 245
0 255 245
0 255 246
0 255 247
0 255 248
0 255 249
0 255 250
0 255 251
0 255 252
0 255 253
0 255 254
0 255 256
0 255 256
0 255 257
0 255 258
0 255 259
0 255 260
0 255 261
0 255 262
0 255 263
0 255 264
0 255 265
0 255 266
0 255 267
0 255 267
0 255 268
0 255 269
0 255 270
0 255 271
0 255 272
0 255 273
0 255 274
0 255 275
0 255 276
0 255 277
0 255 277
0 255 278
0 255 279
0 255 280
0 255 281
0 255 282
0 255 283
0 255 284
0 255 285
0 255 286
0 255 287
0 255 288
0 255 288
0 255 289
0 255 290
0 255 291
0 255 292
0 255 293
0 255 294
0 255 295
0 255 296
0 255 297
0 255 299
0 255 299
0 255 300
0 255 301
0 255 302
0 255 303
0 255 304
0 255 305
1 254 306
0 255 307
0 255 308
0 255 309
0 255 310
0 255 310
0 255 311
0 255 312
0 255 313
0 255 314
0 255 315
0 255 316
0 255 317
0 255 318
0 255 319
0 255 320
0 255 320
0 255 321
0 255 322
0 255 323
0 255 324
0 255 325
0 255 326
0 255 327
0 255 328
0 255 329
0 255 330
0 255 331
0 255 331
0 255 332
0 255 333
0 255 334
0 255 335
0 255 336
0 255 337
0 255 338
0 255 339
0 255 340
0 255 342
0 255 342
0 255 343
0 255 344
0 255 345
0 255 346
0 255 347
0 255 348
0 255 349
0 255 350
0 255 351
0 255 352
0 255 353
0 255 353
0 255 354
0 255 355
0 255 356
0 255 357
0 255 358
0 255 359
0 255 360
0 255 361
0 255 362
0 255 363
0 255 363
0 255 364
0 255 365
0 255 366
0 255 367
0 255 368
0 255 369
0 255 370
0 255 371
0 255 372
0 255 373
0 255 374
0 255 374
0 255 375
0 255 376
0 255 377
0 255 378
0 255 379
0 255 380
0 255 381
0 255 382
0 255 384
0 255 385
0 255 385
0 255 386
0 255 387
1 254 388
0 255 389
0 255 390
0 255 391
0 255 392
0 255 393
0 255 394
0 255 395
0 255 396
0 255 396
0 255 397
0 255 398
0 255 399
0 255 400
0 255 401
0 255 402
0 255 403
0 255 404
0 255 405
0 255 406
0 255 406
0 255 407
0 255 408
0 255 409
0 255 410
0 255 411
0 255 412
0 255 413
0 255 414
0 255 415
0 255 416
0 255 417
0 255 417
0 255 418
0 255 419
0 255 420
1 254 421
0 255 422
0 255 423
0 255 424
0 255 425
0 255 427
0 255 428
0 255 428
0 255 429
0 255 430
0 255 431
0 255 432
0 255 433
0 255 434
0 255 435
0 255 436
0 255 437
0 255 438
0 255 439
0 255 439
0 255 440
0 255 441
0 255 442
0 255 443
0 255 444
0 255 445
0 255 446
0 255 447
0 255 448
0 255 449
0 255 449
0 255 450
0 255 451
0 255 452
0 255 453
0 255 454
0 255 455
0 255 456
0 255 457
0 255 458
0 255 459
0 255 460
0 255 460
0 255 461
0 255 462
0 255 463
0 255 464
0 255 465
0 255 466
0 255 467
0 255 468
0 255 470
0 255 471
0 255 471
0 255 472
0 255 473
0 255 474
0 255 475
0 255 476
0 255 477
0 255 478
0 255 479
0 255 480
0 255 481
0 255 482
0 255 482
0 255 483
0 255 484
0 255 485
0 255 486
0 255 487
0 255 488
0 255 489
0 255 490
0 255 491
0 255 492
0 255 492
0 255 493
0 255 494
0 255 495
0 255 496
0 255 497
0 255 498
0 255 499
0 255 500
0 255 501
0 255 502
0 255 503
1 254 503
0 255 504
0 255 505
0 255 506
0 255 507
0 255 508
0 255 509
0 255 510
0 255 512
0 255 513
0 255 514
0 255 514
0 255 515
0 255 516
0 255 517
0 255 518
0 255 519
1 254 520
0 255 521
0 255 522
0 255 523
0 255 524
0 255 525
0 255 525
0 255 526
0 255 527
0 255 528
0 255 529
0 255 530
0 255 531
0 255 532
0 255 533
0 255 534
0 255 535
0 255 535
0 255 536
0 255 537
0 255 538
0 255 539
0 255 540
0 255 541
0 255 542
0 255 543
0 255 544
0 255 545
0 255 546
0 255 546
0 255 547
0 255 548
0 255 549
0 255 550
0 255 551
0 255 552
0 255 553
0 255 555
0 255 556
0 255 557
0 255 557
0 255 558
0 255 559
0 255 560
0 255 561
0 255 562
0 255 563
0 255 564
0 255 565
0 255 566
0 255 567
0 255 568
0 255 568
0 255 569
0 255 570
0 255 571
0 255 572
0 255 573
0 255 574
0 255 575
0 255 576
0 255 577
0 255 578
0 255 578
0 255 579
0 255 580
0 255 581
0 255 582
0 255 583
0 255 584
1 254 585
0 255 586
0 255 587
0 255 588
0 255 589
0 255 589
0 255 590
0 255 591
0 255 592
0 255 593
0 255 594
0 255 595
0 255 596
0 255 598
0 255 599
0 255 600
0 255 600
0 255 601
1 254 602
0 255 603
0 255 604
1 254 605
0 255 606
0 255 607
0 255 608
0 255 609
0 255 610
0 255 611
0 255 611
0 255 612
0 255 613
0 255 614
0 255 615
0 255 616
0 255 617
0 255 618
0 255 619
0 255 620
0 255 621
0 255 621
0 255 622
0 255 623
0 255 624
0 255 625
0 255 626
0 255 627
0 255 628
0 255 629
0 255 630
0 255 631
0 255 632
0 255 632
0 255 633
0 255 634
0 255 635
0 255 636
0 255 637
0 255 638
0 255 640
0 255 641
0 255 642
0 255 643
0 255 643
0 255 644
0 255 645
0 255 646
0 255 647
0 255 648
0 255 649
0 255 650
0 255 651
0 255 652
0 255 653
0 255 654
0 255 654
0 255 655
0 255 656
0 255 657
0 255 658
0 255 659
0 255 660
0 255 661
0 255 662
0 255 663
0 255 664
0 255 664
0 255 665
0 255 666
0 255 667
0 255 668
0 255 669
0 255 670
1 254 671
0 255 672
0 255 673
0 255 674
0 255 675
0 255 675
0 255 676
0 255 677
0 255 678
0 255 679
0 255 680
0 255 681
0 255 683
0 255 684
0 255 685
0 255 686
0 255 686
0 255 687
0 255 688
0 255 689
0 255 690
0 255 691
0 255 692
0 255 693
0 255 694
0 255 695
0 255 696
0 255 697
0 255 697
0 255 698
0 255 699
0 255 700
0 255 701
0 255 702
0 255 703
1 254 704
0 255 705
0 255 706
0 255 707
0 255 707
0 255 708
0 255 709
0 255 710
0 255 711
0 255 712
0 255 713
0 255 714
0 255 715
0 255 716
0 255 717
0 255 718
0 255 718
0 255 719
0 255 720
0 255 721
0 255 722
0 255 723
0 255 724
0 255 726
0 255 727
0 255 728
0 255 729
0 255 729
0 255 730
0 255 731
0 255 732
0 255 733
0 255 734
0 255 735
0 255 736
1 254 737
0 255 738
0 255 739
0 255 740
0 255 740
0 255 741
0 255 742
0 255 743
0 255 744
0 255 745
0 255 746
0 255 747
0 255 748
0 255 749
0 255 750
0 255 750
0 255 751
0 255 752
0 255 753
0 255 754
0 255 755
0 255 756
0 255 757
0 255 758
0 255 759
0 255 760
0 255 761
0 255 761
0 255 762
0 255 763
0 255 764
0 255 765
0 255 766
0 255 768
0 255 769
0 255 770
0 255 771
0 255 772
0 255 772
0 255 773
0 255 774
0 255 775
0 255 776
0 255 777
0 255 778
0 255 779
0 255 780
0 255 781
0 255 782
0 255 783
0 255 783
0 255 784
0 255 785
0 255 786
0 255 787
0 255 788
0 255 789
0 255 790
0 255 791
0 255 792
0 255 793
0 255 793
0 255 794
0 255 795
0 255 796
0 255 797
0 255 798
0 255 799
0 255 800
0 255 801
0 255 802
0 255 803
0 255 804
0 255 804
0 255 805
0 255 806
0 255 807
0 255 808
0 255 809
0 255 811
0 255 812
0 255 813
0 255 814
0 255 815
0 255 816
0 255 816
0 255 817
0 255 818
0 255 819
0 255 820
0 255 821
1 254 822
0 255 823
0 255 824
0 255 825
0 255 826
0 255 826
0 255 827
0 255 828
0 255 829
0 255 830
0 255 831
0 255 832
0 255 833
0 255 834
0 255 835
0 255 836
0 255 837
0 255 837
0 255 838
1 254 839
0 255 840
0 255 841
0 255 842
0 255 843
0 255 844
0 255 845
0 255 846
0 255 847
0 255 847
0 255 848
0 255 849
0 255 850
0 255 851
0 255 852
0 255 854
0 255 855
0 255 856
0 255 857
0 255 858
0 255 859
0 255 859
0 255 860
0 255 861
0 255 862
0 255 863
0 255 864
0 255 865
0 255 866
0 255 867
0 255 868
0 255 869
0 255 869
0 255 870
0 255 871
0 255 872
0 255 873
0 255 874
0 255 875
0 255 876
0 255 877
0 255 878
0 255 879
0 255 880
0 255 880
0 255 881
0 255 882
0 255 883
0 255 884
0 255 885
0 255 886
0 255 887
0 255 888
0 255 889
0 255 890
0 255 890
0 255 891
0 255 892
0 255 893
0 255 894
0 255 896
0 255 897
0 255 898
0 255 899
0 255 900
0 255 901
0 255 902
0 255 902
0 255 903
0 255 904
0 255 905
0 255 906
0 255 907
0 255 908
0 255 909
0 255 910
0 255 911
0 255 912
0 255 912
0 255 913
0 255 914
0 255 915
0 255 916
0 255 917
0 255 918
0 255 919
0 255 920
0 255 921
0 255 922
0 255 923
0 255 923
0 255 924
0 255 925
0 255 926
0 255 927
0 255 928
0 255 929
0 255 930
0 255 931
0 255 932
0 255 933
0 255 933
0 255 934
0 255 935
1 254 936
0 255 937
0 255 939
0 255 940
0 255 941
0 255 942
0 255 943
0 255 944
0 255 945
0 255 945
0 255 946
0 255 947
0 255 948
0 255 949
0 255 950
0 255 951
0 255 952
0 255 953
0 255 954
0 255 955
0 255 955
0 255 956
0 255 957
0 255 958
0 255 959
0 255 960
0 255 961
0 255 962
0 255 963
0 255 964
0 255 965
0 255 966
0 255 966
1 254 967
0 255 968
0 255 969
0 255 970
1 254 971
0 255 972
0 255 973
0 255 974
0 255 975
0 255 976
0 255 976
0 255 977
0 255 978
0 255 979
0 255 980
0 255 982
0 255 983
0 255 984
0 255 985
0 255 986
0 255 987
0 255 988
0 255 988
0 255 989
0 255 990
0 255 991
0 255 992
0 255 993
0 255 994
0 255 995
0 255 996
0 255 997
0 255 998
0 255 998
0 255 999
0 255 1000
0 255 1001
0 255 1002
0 255 1003
0 255 1004
0 255 1005
0 255 1006
0 255 1007
0 255 1008
0 255 1009
0 255 1010
0 255 1011
0 255 1012
0 255 1013
0 255 1014
0 255 1015
0 255 1016
0 255 1017
0 255 1018
0 255 1019
0 255 1020
0 255 1021
0 255 1022
0 255 1024
0 255 1025
0 255 1026
0 255 1027
0 255 1028
0 255 1029
0 255 1030
0 255 1031
0 255 1032
0 255 1033
0 255 1034
0 255 1035
0 255 1036
0 255 1037
0 255 1038
0 255 1039
0 255 1040
0 255 1041
0 255 1042
0 255 1043
0 255 1044
0 255 1045
0 255 1046
0 255 1047
0 255 1048
0 255 1049
0 255 1050
0 255 1051
0 255 1052
0 255 1053
0 255 1054
0 255 1055
1 254 1056
0 255 1057
0 255 1058
0 255 1059
0 255 1060
0 255 1061
0 255 1062
0 255 1063
0 255 1064
0 255 1065
0 255 1067
0 255 1068
0 255 1069
0 255 1070
0 255 1071
0 255 1072
0 255 1073
0 255 1074
0 255 1075
0 255 1076
0 255 1077
0 255 1078
0 255 1079
0 255 1080
0 255 1081
0 255 1082
0 255 1083
0 255 1084
0 255 1085
0 255 1086
0 255 1087
0 255 1088
0 255 1089
0 255 1090
0 255 1091
0 255 1092
0 255 1093
0 255 1094
0 255 1095
0 255 1096
0 255 1097
0 255 1098
0 255 1099
0 255 1100
1 254 1101
0 255 1102
0 255 1103
1 254 1104
0 255 1105
0 255 1106
0 255 1107
0 255 1108
0 255 1110
0 255 1111
0 255 1112
0 255 1113
0 255 1114
0 255 1115
0 255 1116
0 255 1117
0 255 1118
0 255 1119
0 255 1120
0 255 1121
0 255 1122
0 255 1123
0 255 1124
0 255 1125
0 255 1126
0 255 1127
0 255 1128
0 255 1129
0 255 1130
0 255 1131
0 255 1132
0 255 1133
0 255 1134
0 255 1135
0 255 1136
0 255 1137
0 255 1138
0 255 1139
0 255 1140
0 255 1141
0 255 1142
0 255 1143
0 255 1144
0 255 1145
0 255 1146
0 255 1147
0 255 1148
0 255 1149
0 255 1150
0 255 1152
1 254 1153
0 255 1154
0 255 1155
0 255 1156
0 255 1157
0 255 1158
0 255 1159
0 255 1160
0 255 1161
0 255 1162
0 255 1163
0 255 1164
0 255 1165
0 255 1166
0 255 1167
0 255 1168
0 255 1169
0 255 1170
0 255 1171
0 255 1172
0 255 1173
0 255 1174
0 255 1175
0 255 1176
0 255 1177
0 255 1178
0 255 1179
0 255 1180
0 255 1181
0 255 1182
0 255 1183
0 255 1184
0 255 1185
0 255 1186
1 254 1187
0 255 1188
0 255 1189
0 255 1190
0 255 1191
0 255 1192
0 255 1193
0 255 1195
0 255 1196
0 255 1197
0 255 1198
0 255 1199
0 255 1200
0 255 1201
0 255 1202
0 255 1203
0 255 1204
0 255 1205
0 255 1206
0 255 1207
0 255 1207
0 255 1208
0 255 1209
0 255 1210
0 255 1211
0 255 1212
0 255 1213
0 255 1214
0 255 1215
0 255 1216
0 255 1217
0 255 1218
0 255 1219
1 254 1220
1 254 1221
0 255 1222
0 255 1223
0 255 1224
0 255 1225
0 255 1226
0 255 1227
0 255 1228
0 255 1229
0 255 1230
0 255 1231
0 255 1232
0 255 1233
0 255 1234
0 255 1235
0 255 1236
0 255 1238
0 255 1239
0 255 1240
0 255 1241
0 255 1242
0 255 1243
0 255 1244
0 255 1245
0 255 1246
0 255 1247
1 254 1248
0 255 1249
0 255 1250
0 255 1251
0 255 1252
0 255 1253
0 255 1254
0 255 1255
0 255 1256
0 255 1257
0 255 1258
0 255 1259
0 255 1260
0 255 1261
0 255 1262
0 255 1263
0 255 1264
0 255 1265
0 255 1266
0 255 1267
0 255 1268
0 255 1269
0 255 1270
1 254 1271
0 255 1272
0 255 1273
0 255 1274
0 255 1275
0 255 1276
0 255 1277
0 255 1278
0 255 1280
0 255 1281
0 255 1282
0 255 1283
0 255 1284
0 255 1285
0 255 1286
0 255 1287
0 255 1288
0 255 1289
0 255 1290
0 255 1291
0 255 1292
0 255 1293
0 255 1294
0 255 1295
0 255 1296
0 255 1297
0 255 1298
0 255 1299
0 255 1300
